username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,prob_2,confidence_level,uncertainty_score
_atefehshams_,عاطفه شمس,روزنامه‌نگار,4.0,50.0,0.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,روزنامه‌نگار,عاطفه شمس,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_bonos_,🌟,,40.0,7500.0,,False,November 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,🌟,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_carneosso,♡ *ೃ°༄ 𝓢𝓪𝓫𝓻𝓲𝓷𝓪 𝓢𝓾𝓻𝓽𝓸 ¸.•°*°⋆.ೃ࿔*,"/ perto do osso a carne é mais gostosa / ˚ ༘✶ videomaker, mama snake na  @MAMBANEGRAHHHH  y kweeng em  @TETOPRETOOO",1806.0,425.0,2277.0,False,April 2009,"São Paulo, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"/ perto do osso a carne é mais gostosa / ˚ ༘✶ videomaker, mama snake na  @MAMBANEGRAHHHH  y kweeng em  @TETOPRETOOO",♡ *ೃ°༄ 𝓢𝓪𝓫𝓻𝓲𝓷𝓪 𝓢𝓾𝓻𝓽𝓸 ¸.•°*°⋆.ೃ࿔*,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_celestraa,Gem - Komaeda Brain rot ✌🏻️,Just a weenus,98.0,667.0,1998.0,False,December 2012,Melbourne,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Just a weenus,Gem - Komaeda Brain rot ✌🏻️,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_irani_mohammad,MhmmdShajarian,,8.0,1774.0,58.0,False,December 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,MhmmdShajarian,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_iweni,🌚🤍,بُگذار گُم‌ شَوَم دَر تو ...,80.0,370.0,96.0,False,May 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,بُگذار گُم‌ شَوَم دَر تو ...,🌚🤍,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,1216.0,819.0,4248.0,False,March 2023,Təbrizli-,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,𐰯𐱃𐰢𐰚|فآطِمِ🎋,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_iwtiina,Tina,,0.0,4.0,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Tina,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_fatemeramezani,فاطم‌ه,,9.0,24.0,540.0,False,March 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,فاطم‌ه,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_freeeagle_,Free eagle,سجل انا عربي,138.0,213.0,2333.0,False,August 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,سجل انا عربي,Free eagle,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_garrulus,Garrulus,,112.0,475.0,654.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Garrulus,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_ghazaltaleb,Ghazal,,13.0,47.0,3115.0,False,February 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ghazal,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alotlikebirds,A Lot Like Birds,A Lot Like Birds and Nothing Like Fish,,222.0,1777.0,False,January 2010,Sacramento,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,A Lot Like Birds and Nothing Like Fish,A Lot Like Birds,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alpacinoih,alpacino,alpacino,40.0,149.0,1261.0,False,August 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,alpacino,alpacino,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alparsai,Ali Parsai,"Soyez réalistes, demandez l'impossible.",377.0,958.0,5809.0,False,November 2016,Planet Earth,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Soyez réalistes, demandez l'impossible.",Ali Parsai,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
alpeeoqiw49588,Kelly Poe,,27.0,1048.0,0.0,False,October 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Kelly Poe,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_hqaddomi,Hisham Qaddoumi,,33.0,359.0,247.0,False,August 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Hisham Qaddoumi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_husseinth3,حسين العنزي⚜️,,2.0,6.0,0.0,False,December 2025,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,حسين العنزي⚜️,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_iamnaaz_,Elnaaz Norouzi,Let me act and I'll be happy,,232.0,3225.0,False,February 2013,India,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Let me act and I'll be happy,Elnaaz Norouzi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
___cfilm,🎞️,,0.0,424.0,4.0,False,March 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,🎞️,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2000mhac,محمدحسین امینایی,,1.0,20.0,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,محمدحسین امینایی,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2017siyasi,Dr siyasi,,206.0,306.0,6949.0,False,March 2017,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Dr siyasi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2025_samuel,Dr . Samuel 2025 Samuel arockiasamy (Sam),,50.0,786.0,19.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Dr . Samuel 2025 Samuel arockiasamy (Sam),2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2088sajad24892,Sajad,,5.0,39.0,53.0,False,December 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Sajad,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
20lincoln20,tohid2001,جمهوری خواه-سکولار دموکرات,4085.0,4396.0,2456.0,False,September 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,جمهوری خواه-سکولار دموکرات,tohid2001,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
1m9od5,ابو علي,,0.0,16.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ابو علي,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
1meshmo,Mehdi.Sharifi.Mo.,,107.0,550.0,1311.0,False,March 2015,ایران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Mehdi.Sharifi.Mo.,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
1pezeshk_plus,«یک پزشک» پلاس,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,233.0,740.0,4.0,False,July 2016,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,«یک پزشک» پلاس,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_joy_net,jøy,ZERO JOY UNTO DEATH  :::: any pronoun無性 :  horror rpg solo game dev  @HEAVY_AS_STONE  |  industrial music as Thegn  thegn.bandcamp.com | eng/jp →,3285.0,734.0,5899.0,False,December 2013,Amagasaki　尼崎市,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,ZERO JOY UNTO DEATH  :::: any pronoun無性 :  horror rpg solo game dev  @HEAVY_AS_STONE  |  industrial music as Thegn  thegn.bandcamp.com | eng/jp →,jøy,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_kuramakyubi_,Kurama Kyūbi,,1.0,24.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Kurama Kyūbi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_mahdiyar313,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,,1054.0,6124.0,False,November 2022,۱:۲۰,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,علی اکبر رائفی پور,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_mehrabooon,مهربوون,متعهد به عشق جان,2336.0,2501.0,1681.0,False,January 2021,آنجا که دل خوش است,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,متعهد به عشق جان,مهربوون,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_mohammad_1987_,Mohammad Mohammadi,جاوید ایران زمین ؛ زنده باد آزادی,0.0,5.0,1.0,False,March 2024,"Tehran, iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,جاوید ایران زمین ؛ زنده باد آزادی,Mohammad Mohammadi,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_mriyim_,مریمم🦋,:)))),131.0,114.0,1.0,False,April 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,:)))),مریمم🦋,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2_ncqr,Cotton Headed Ninny Muggins,,102.0,1586.0,287.0,False,March 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Cotton Headed Ninny Muggins,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2_rebelgirl,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,1399.0,1004.0,9779.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,Rebel girl,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_ya_karim_,səs siz,‌یازیرام، دۆزدۆ قاتیل_ قاتیلمییرسان آتیل_یانلیش دی دۆزۆن یاز | بیربئلهروانپریش,532.0,436.0,,False,December 2023,Güney Azərbaycan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,‌یازیرام، دۆزدۆ قاتیل_ قاتیلمییرسان آتیل_یانلیش دی دۆزۆن یاز | بیربئلهروانپریش,səs siz,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_nafyn_,Nafyn 🐀,bip boup,544.0,427.0,1942.0,False,February 2020,they/elle,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,bip boup,Nafyn 🐀,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_raven_reborn_,🪽,,5622.0,2129.0,,False,December 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,🪽,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
